前因条件,组态描述,组态类型,总体一致性POCONS,总体覆盖度POCOV,BECONS距离_推荐,有效案例数,幅度百分比,分年标准差,2014年BECONS,2014年BECOV,2015年BECONS,2015年BECOV,2016年BECONS,2016年BECOV,2017年BECONS,2017年BECOV,2018年BECONS,2018年BECOV,2019年BECONS,2019年BECOV,2020年BECONS,2020年BECOV,2021年BECONS,2021年BECOV,2022年BECONS,2022年BECOV,2023年BECONS,2023年BECOV
市政工程能力 × 非企业规模 × 非ESG表现 × 差异化战略 × 非成本领先战略,市政工程能力 × 非企业规模 × 非ESG表现 × 差异化战略 × 非成本领先战略,市政中小企业型,0.938,0.285,0.067,961,22.8,0.091,1.0,0.136,0.989,0.104,0.823,0.23,0.82,0.355,0.83,0.359,0.938,0.299,0.975,0.357,0.975,0.312,0.993,0.304,0.983,0.374
非成本领先战略 × 市政工程能力 × 非企业规模 × 差异化战略 × 非ESG表现,非成本领先战略 × 市政工程能力 × 非企业规模 × 差异化战略 × 非ESG表现,市政中小企业型,0.938,0.285,0.067,961,22.8,0.091,1.0,0.136,0.989,0.104,0.823,0.23,0.82,0.355,0.83,0.359,0.938,0.299,0.975,0.357,0.975,0.312,0.993,0.304,0.983,0.374
非差异化战略 × 非企业规模 × ESG表现 × 非收入多样性,非差异化战略 × 非企业规模 × ESG表现 × 非收入多样性,ESG中小企业型,0.921,0.382,0.062,961,12.6,0.077,0.978,0.472,0.972,0.212,0.824,0.396,0.792,0.481,0.846,0.486,0.936,0.395,0.946,0.432,0.954,0.371,0.982,0.353,0.952,0.397
非成本领先战略 × 市政工程能力 × 非企业规模 × 差异化战略,非成本领先战略 × 市政工程能力 × 非企业规模 × 差异化战略,市政中小企业型,0.921,0.326,0.081,961,34.8,0.119,1.0,0.136,0.989,0.104,0.805,0.234,0.822,0.415,0.751,0.435,0.931,0.373,0.962,0.432,0.964,0.337,0.984,0.331,0.979,0.446
市政工程能力 × 非企业规模 × 非ESG表现 × 差异化战略,市政工程能力 × 非企业规模 × 非ESG表现 × 差异化战略,市政中小企业型,0.918,0.355,0.068,961,16.3,0.127,1.0,0.136,0.989,0.11,0.84,0.259,0.813,0.432,0.789,0.418,0.937,0.366,0.971,0.424,0.948,0.384,0.959,0.435,0.929,0.505
市政工程能力 × 非企业规模 × 非ESG表现 × 非成本领先战略,市政工程能力 × 非企业规模 × 非ESG表现 × 非成本领先战略,市政中小企业型,0.917,0.352,0.079,961,26.1,0.109,1.0,0.156,0.977,0.133,0.811,0.323,0.751,0.411,0.804,0.394,0.932,0.36,0.957,0.442,0.967,0.392,0.984,0.379,0.94,0.478
数字化动态能力 × 市政工程能力 × 非企业规模,数字化动态能力 × 市政工程能力 × 非企业规模,数字化市政专业型,0.898,0.35,0.097,961,33.4,0.132,0.987,0.158,0.979,0.143,0.807,0.368,0.742,0.549,0.758,0.535,0.966,0.453,0.977,0.426,0.971,0.327,0.97,0.289,0.926,0.386
市政工程能力 × 非企业规模 × 非ESG表现,市政工程能力 × 非企业规模 × 非ESG表现,市政中小企业型,0.893,0.44,0.081,961,17.7,0.154,0.987,0.158,0.978,0.14,0.816,0.361,0.747,0.49,0.762,0.458,0.923,0.456,0.937,0.542,0.944,0.485,0.946,0.538,0.881,0.633
非差异化战略 × 非企业规模 × ESG表现,非差异化战略 × 非企业规模 × ESG表现,ESG中小企业型,0.892,0.441,0.081,961,14.9,0.083,0.917,0.553,0.978,0.262,0.772,0.444,0.733,0.548,0.785,0.539,0.907,0.476,0.926,0.499,0.95,0.425,0.975,0.397,0.929,0.457
非成本领先战略 × 市政工程能力 × 非企业规模,非成本领先战略 × 市政工程能力 × 非企业规模,市政中小企业型,0.891,0.405,0.088,961,34.3,0.139,1.0,0.156,0.978,0.139,0.804,0.337,0.753,0.477,0.732,0.487,0.906,0.457,0.932,0.533,0.942,0.434,0.973,0.417,0.91,0.56
